sourate,verset,jummal,lettres
3,188,5299,86
3,189,2595,38
3,190,4546,57
3,191,9173,100
3,192,4507,45
3,193,6055,95
3,194,4409,58
3,195,15754,188
3,196,3099,29
3,197,1571,30
3,198,6650,85
3,199,6044,121
3,200,3092,57
4,1,8977,144
4,2,4280,82
4,3,8783,115
4,4,2777,58
4,5,3375,79
4,6,11925,186
4,7,5529,91
4,8,4346,70
4,9,7053,71
4,10,3756,63
4,11,16321,271
4,12,18892,299
4,13,6726,79
4,14,3708,55
4,15,6164,107
4,16,5131,70
4,17,4457,90
4,18,9443,106
4,19,13009,157
4,20,7738,83
4,21,8824,49
4,22,2530,63
4,23,22484,265
4,24,14678,185
4,25,24232,264
4,26,2704,61
4,27,4877,60
4,28,3181,34
4,29,6314,99
4,30,4092,53
4,31,4590,56
4,32,7711,108
4,33,4788,88
4,34,17457,192
4,35,4782,92
4,36,8512,158
4,37,6533,78
4,38,4271,85
4,39,3114,68
4,40,6098,55
4,41,2028,43
4,42,5127,61
4,43,14517,205
4,44,6184,64
4,45,1127,44
4,46,10295,177
4,47,5229,121
4,48,7737,69
4,49,3973,54
4,50,3704,40
4,51,7147,94
4,52,2394,43
4,53,2267,37
4,54,5115,80
4,55,1410,38
4,56,7080,95
4,57,8541,100
4,58,5583,102
4,59,8459,132
4,60,8003,125
4,61,3419,65
4,62,4121,73
4,63,5442,65
4,64,8657,105
4,65,5013,77
4,66,7340,107
4,67,2646,27
4,68,1103,21
4,69,3714,92
4,70,2182,28
4,71,4982,49
4,72,3159,63
4,73,4828,75
4,74,7743,93
4,75,9051,139
4,76,7670,98
4,77,17455,204
4,78,7931,143
4,79,2660,73
4,80,3016,49
4,81,7892,101
4,82,4758,56
4,83,8965,135
4,84,5704,87
4,85,4095,77
4,86,2886,57
4,87,2031,61
4,88,5605,88
4,89,11490,128
4,90,8574,168
4,91,9346,162
4,92,12892,235
4,93,6321,70
4,94,14911,170
4,95,9520,172
4,96,3982,37
4,97,10174,128
4,98,3519,64
4,99,2322,40
4,100,9636,122
4,101,8494,96
4,102,25306,281
4,103,7700,106
4,104,5668,94
4,105,3909,67
4,106,3547,30
4,107,4278,54
4,108,5997,82
4,109,2555,79
4,110,5481,50
4,111,1677,46
4,112,4164,54
4,113,10560,135
4,114,9035,97
4,115,5381,81
4,116,7262,67
4,117,1786,43
4,118,3606,36
4,119,10180,109
4,120,2306,35
4,121,643,32
4,122,6299,95
4,123,1968,72
4,124,4998,66
4,125,4465,73
4,126,2484,45
4,127,13345,178
4,128,9949,126
4,129,8355,102
4,130,3010,43
4,131,8917,129
4,132,2161,40
4,133,3896,49
4,134,3335,62
4,135,9866,163
4,136,9208,130
4,137,5992,78
4,138,1848,28
4,139,5559,71
4,140,10813,137
4,141,7658,161
4,142,4982,91
4,143,4289,58
4,144,5594,85
4,145,2251,45
4,146,5536,92
4,147,3496,48
4,148,2280,53
4,149,3864,49
4,150,8167,100
4,151,2442,43
4,152,4575,78
4,153,12829,162
4,154,8033,90
4,155,7246,103
4,156,2420,31
4,157,8275,128
4,158,816,32
4,159,2255,57
4,160,4506,60
4,161,4224,73
4,162,6537,136
4,163,3324,131
4,164,2780,58
4,165,3183,66
4,166,1939,61
4,167,3434,43
4,168,4204,50
4,169,2532,44
4,170,5279,99
4,171,11694,216
4,172,4620,87
4,173,8050,129
4,174,1555,50
4,175,4961,73
4,176,15540,191
5,1,6125,116
5,2,15946,242
5,3,25362,278
5,4,6775,137
5,5,15726,201
5,6,16070,281
5,7,7322,86
5,8,6535,117
5,9,4379,47
5,10,2565,40
5,11,5834,107
5,12,18022,207
5,13,9293,141
5,14,10020,119
5,15,6315,92
5,16,6494,80
5,17,8962,157
5,18,10294,134
5,19,7259,107
5,20,5237,92
5,21,6106,70
5,22,4857,75
5,23,7888,100
5,24,3708,69
5,25,2516,52
5,26,3958,62
5,27,6867,99
5,28,3732,64
5,29,4716,56
5,30,3779,38
5,31,9999,106
5,32,12260,162
5,33,11206,140
5,34,4261,52
5,35,4082,68
5,36,6581,88
5,37,3621,49
5,38,1779,64
5,39,4240,49
5,40,6199,71
5,41,22308,281
5,42,7935,113
5,43,3619,68
5,44,12479,195
5,45,7178,140
5,46,6551,117
5,47,1528,66
5,48,11292,228
5,49,8632,136
5,50,2140,45
5,51,7810,104
5,52,8155,116
5,53,4322,80
5,54,8832,158
5,55,3570,68
5,56,3189,48
5,57,9561,109
5,58,4543,54
5,59,3365,77
5,60,9462,110
5,61,3925,68
5,62,3737,63
5,63,2748,67
5,64,13082,218
5,65,3689,62
5,66,5211,104
5,67,6125,94
5,68,8033,129
5,69,4953,92
5,70,6517,89
5,71,4918,78
5,72,6641,139
5,73,6996,96
5,74,4126,40
5,75,6954,98
5,76,2855,58
5,77,8640,90
5,78,4067,71
5,79,1719,42
5,80,6651,78
5,81,3741,70
5,82,8839,128
5,83,5972,89
5,84,2386,63
5,85,4943,67
5,86,2565,40
5,87,3952,69
5,88,2680,52
5,89,17078,205
5,90,4729,82
5,91,7058,92
5,92,4512,72
5,93,6874,116
5,94,7122,104
5,95,13564,196
5,96,5415,86
5,97,6472,119
5,98,2454,37
